Gender,Job,Income,Area,Frequently,PU1,PU2,PU3,PU4,PEU1,PEU2,PEU3,PEU4,FSC1,FSC2,FSC3,SP1,SP2,SP3,SP4,TP1,TP2,TP3,IB1,IB2,IB3,IB4,AUB1,AUB2,AUB3,AUB4
2,1,1,1,1,4,5,4,5,4,5,4,5,4,4,4,4,5,4,5,4,4,4,5,4,5,4,4,5,4,5
2,1,1,3,1,4,4,5,5,4,5,5,4,4,5,5,5,5,4,5,5,5,5,4,3,4,5,5,5,4,5
1,1,1,1,1,5,4,4,4,4,5,4,5,4,5,4,3,5,5,4,4,4,4,4,5,4,5,4,5,4,4
1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,4
2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4,5,5,5,4,5,5,5
2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,3,5,5,5,5,5
2,1,1,1,1,3,5,4,5,4,3,5,4,4,5,5,3,2,2,3,4,4,3,4,3,5,4,4,5,4,5
2,1,1,1,1,4,4,3,3,3,4,3,5,4,4,4,4,3,4,4,4,4,4,4,3,4,5,4,4,5,5
2,1,1,2,1,4,4,4,4,4,4,5,5,4,4,4,4,5,4,5,4,4,4,5,4,4,5,5,4,5,4
2,1,1,1,1,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,5,5,4,4,4,5
2,1,2,1,1,5,5,4,5,4,5,5,4,5,5,5,4,4,4,5,4,5,4,4,4,5,5,4,5,4,5
2,1,1,1,1,5,5,5,5,4,4,5,5,4,3,4,2,5,5,3,5,3,3,3,5,3,5,5,5,4,4
2,1,1,1,1,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4
2,1,1,1,1,3,3,3,3,3,2,3,4,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,4,3,3
2,1,1,1,1,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3
1,1,1,1,1,4,4,4,4,3,3,3,3,3,4,4,2,2,4,4,2,2,2,2,2,2,2,3,3,3,3
2,1,1,2,1,3,4,4,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,3,4,3
2,1,1,1,1,5,4,5,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,4,4,4,4,5,4,5,5
2,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,3,3,4,5,5,5,5,5,5,5
1,1,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,3,3,3,3,3
2,1,1,1,1,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3
2,1,2,1,1,4,3,4,3,4,4,2,3,2,3,2,3,3,4,4,2,4,1,4,2,4,2,3,4,2,3
2,1,1,3,1,4,3,5,4,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
2,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,2,1,2,5,4,5,5,4,4,4,4,1,4,4,5,5,1,1,4,4,4,4,4,4,4,4,4,4,4
2,1,1,1,1,4,4,4,4,4,4,4,3,4,4,5,4,4,5,4,4,3,4,4,3,3,4,4,3,3,3
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,1,1,1,1,5,5,5,4,4,4,3,4,4,5,5,4,3,4,3,4,4,5,3,3,4,3,3,4,3,5
1,1,1,1,1,4,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,3,4,5,4,4,5,3
2,1,1,3,1,4,3,5,4,3,3,3,4,4,3,4,4,5,5,4,4,5,4,3,3,3,4,4,3,4,4
2,1,1,1,1,4,3,4,4,4,3,3,3,3,4,3,3,3,4,3,4,4,4,3,4,3,4,4,4,4,3
1,1,1,2,1,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4
2,1,1,3,1,4,4,5,4,3,4,5,5,4,4,5,3,4,3,3,4,5,3,4,3,4,3,4,5,5,4
2,1,1,3,1,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,2,1,1,5,5,5,4,5,5,4,5,4,5,4,5,5,5,5,4,5,4,5,4,5,5,5,4,5,4
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
1,1,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,2,5,3,5,3,3,3,3
2,1,1,1,1,4,5,5,5,4,5,5,4,4,5,5,4,5,5,4,4,5,5,4,5,5,4,4,3,4,4
2,1,1,3,2,3,3,3,3,3,3,5,5,3,3,3,3,4,4,5,3,4,5,3,4,5,4,4,4,5,5
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,1,1,1,4,5,5,4,5,4,4,3,4,4,4,4,4,5,5,4,4,5,4,3,3,4,3,4,1,4
1,1,2,1,1,3,4,3,3,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4
2,1,1,1,1,5,4,5,5,4,4,4,4,5,5,4,4,4,5,5,5,4,5,5,5,5,5,4,4,5,4
2,1,1,1,1,3,4,4,4,4,4,4,3,4,3,5,3,3,4,4,4,4,4,3,4,2,3,4,3,4,4
2,1,2,1,1,3,4,4,4,3,5,4,4,4,5,4,5,5,5,5,3,4,4,4,3,5,4,4,5,3,5
2,1,1,1,1,5,4,4,3,5,4,3,4,4,4,5,5,4,5,4,4,4,5,5,4,5,5,4,5,4,4
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
2,1,1,1,1,4,4,5,5,5,4,4,3,5,4,5,4,3,4,5,5,4,4,4,4,5,5,3,3,4,4
2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4
2,1,1,1,1,4,4,4,4,3,4,3,3,3,4,4,3,3,4,3,3,4,4,4,4,3,5,3,4,4,4
2,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4
2,1,1,1,1,5,4,5,4,5,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5
1,1,1,1,1,3,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,3,4
2,1,1,1,1,4,5,4,4,4,4,5,5,4,5,4,4,5,4,5,4,5,5,4,5,4,5,4,4,5,4
2,1,2,1,1,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4
1,1,1,1,1,4,5,5,5,4,4,5,5,2,3,3,2,3,2,2,5,4,2,5,5,3,4,4,4,2,4
2,1,1,1,1,3,5,5,5,2,3,4,4,5,4,5,4,4,5,5,3,4,4,4,4,4,4,4,5,3,5
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,4,4,4,3,4,4
2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3
2,1,1,1,1,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,2,1,1,4,3,4,4,4,4,4,4,4,4,5,3,4,3,3,4,5,4,4,4,3,4,4,3,3,3
2,1,1,1,3,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4
2,1,1,3,1,5,4,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,5,4,5,5,4,4,4,5,5
2,1,1,3,1,4,3,4,3,4,4,4,4,4,3,4,3,4,3,4,4,3,4,1,3,2,3,3,4,3,4
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4
2,1,1,1,1,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3
2,1,1,1,1,5,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,2,1,1,5,5,5,5,4,4,5,4,5,4,4,2,5,5,5,4,2,3,5,5,3,5,5,5,3,4
2,1,1,1,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4
1,1,1,2,1,4,4,3,4,4,4,3,3,4,4,3,3,4,4,3,4,4,3,4,3,4,4,4,4,3,3
2,1,1,1,1,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3
2,1,1,1,1,4,4,4,4,3,3,3,3,4,4,4,5,5,4,5,4,4,4,4,4,4,4,5,4,4,4
2,1,1,1,1,4,5,4,3,4,4,5,5,5,5,5,2,3,4,4,4,3,5,3,4,4,3,5,5,4,3
2,1,1,2,1,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3
2,1,1,1,1,4,4,4,5,5,4,4,5,5,4,4,2,4,4,3,4,5,4,4,5,5,5,5,5,3,3
2,1,1,3,1,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
2,1,1,1,1,4,4,5,3,5,5,4,3,4,4,5,5,5,4,4,5,4,4,4,5,5,4,4,4,5,3
1,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,4,5,3,5,4,3,5,3,3,2,2,4,4,3,4,2,1,2,4,3,5,4,3,4,3,4
1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,3,2,4,5,4,3,4,3,4,5
